date,open_price,highest_price,lowest_price,close_price,volume,symbol,is_quarter,is_annual
2019-06-07,109.7,110.02,108.96,109.16,10618932,JPM,False,False
2019-06-06,110.15,110.87,108.93,110.37,8726664,JPM,False,False
2019-06-05,109.86,110.38,108.64,110.13,8340484,JPM,False,False
2019-06-04,107.85,109.9,107.13,109.74,12858587,JPM,False,False
2019-06-03,105.8,106.86,105.3,106.46,11680745,JPM,False,False
2019-05-31,105.56,106.59,104.84,105.96,10952857,JPM,False,False
2019-05-30,108.65,109.18,106.54,107.06,10367822,JPM,False,False
2019-05-29,107.45,108.4,107.06,108.22,9966365,JPM,False,False
2019-05-28,109.2,109.83,108.44,108.52,11665579,JPM,False,False
2019-05-24,109.52,109.96,109.19,109.71,8537252,JPM,False,False
2019-05-23,109.64,109.79,107.5,108.64,14557969,JPM,False,False
2019-05-22,111.4,111.79,110.75,110.82,7918898,JPM,False,False
2019-05-21,111.44,111.92,111.22,111.73,7967976,JPM,False,False
2019-05-20,110.58,111.81,110.37,111.35,8518244,JPM,False,False
2019-05-17,110.0,111.75,109.83,110.77,9570477,JPM,False,False
2019-05-16,110.62,112.17,110.59,111.31,9672729,JPM,False,False
2019-05-15,109.21,110.9,108.61,109.9,10142048,JPM,False,False
2019-05-14,109.55,111.72,109.5,110.32,10503672,JPM,False,False
2019-05-13,110.08,110.45,108.98,109.45,13783652,JPM,False,False
2019-05-10,111.75,112.84,110.54,112.51,13189381,JPM,False,False
2019-05-09,111.14,112.74,110.58,112.52,12205866,JPM,False,False
2019-05-08,112.66,113.67,112.46,112.61,9576075,JPM,False,False
2019-05-07,114.03,114.03,112.29,113.21,15017725,JPM,False,False
2019-05-06,114.18,115.47,113.72,115.09,9387010,JPM,False,False
2019-05-03,116.0,116.68,115.67,116.12,8185409,JPM,False,False
2019-05-02,115.17,115.78,114.58,115.41,8613305,JPM,False,False
2019-05-01,115.72,117.0,115.11,115.16,10412881,JPM,False,False
2019-04-30,116.43,116.72,115.26,116.05,11389147,JPM,False,False
2019-04-29,114.6,117.16,114.45,116.12,14242237,JPM,False,False
2019-04-26,113.95,114.58,113.6,114.47,7889519,JPM,False,False
2019-04-25,113.01,114.15,112.5,113.61,9311768,JPM,False,False
2019-04-24,113.26,114.15,112.81,113.55,9245743,JPM,False,False
2019-04-23,113.0,114.37,112.85,113.74,9193318,JPM,False,False
2019-04-22,112.83,113.93,112.66,113.6,7975860,JPM,False,False
2019-04-18,114.53,114.95,113.33,113.46,12501949,JPM,False,False
2019-04-17,111.7,114.66,111.01,114.3,17791890,JPM,False,False
2019-04-16,109.9,111.39,109.86,111.1,11583232,JPM,False,False
2019-04-15,110.92,111.0,109.12,109.94,15163815,JPM,False,False
2019-04-12,109.44,111.85,108.88,111.21,25834073,JPM,False,False
2019-04-11,105.71,106.73,105.56,106.23,11183845,JPM,False,False
2019-04-10,105.13,105.72,104.47,105.34,10882304,JPM,False,False
2019-04-09,105.08,105.2,104.25,104.87,9092188,JPM,False,False
2019-04-08,105.11,105.65,104.91,105.65,8056282,JPM,False,False
2019-04-05,105.8,106.11,104.99,105.31,9933660,JPM,False,False
2019-04-04,104.55,105.73,104.45,105.56,11952078,JPM,False,False
2019-04-03,105.81,106.36,104.79,105.35,11499209,JPM,False,False
2019-04-02,104.6,105.44,104.33,105.14,10295539,JPM,False,False
2019-04-01,102.15,104.68,102.12,104.64,17499280,JPM,False,False
2019-03-29,101.54,101.99,100.59,101.23,14523395,JPM,False,False
2019-03-28,100.0,100.8,99.74,100.71,12454070,JPM,False,False
2019-03-27,99.88,100.45,99.08,99.58,12753234,JPM,False,False
2019-03-26,99.82,100.4,98.82,99.92,15987129,JPM,False,False
2019-03-25,99.59,100.57,98.09,98.93,21032295,JPM,False,False
2019-03-22,101.82,102.32,99.52,99.76,31115189,JPM,False,False
2019-03-21,103.49,103.49,102.28,102.87,19751044,JPM,False,False
2019-03-20,106.43,106.65,104.41,104.52,14920658,JPM,False,False
2019-03-19,108.2,108.4,106.55,106.8,12889267,JPM,False,False
2019-03-18,106.55,107.79,106.5,107.19,12935514,JPM,False,False
2019-03-15,105.41,106.8,105.23,106.55,24811730,JPM,False,False
2019-03-14,104.5,105.87,104.46,105.34,10926470,JPM,False,False
2019-03-13,104.19,104.98,103.95,104.39,13022241,JPM,False,False
2019-03-12,104.59,104.79,103.75,104.04,10219100,JPM,False,False
2019-03-11,103.98,104.55,103.66,104.35,9763235,JPM,False,False
2019-03-08,101.99,103.23,101.99,103.01,10582371,JPM,False,False
2019-03-07,103.25,103.47,102.16,102.97,12705739,JPM,False,False
2019-03-06,103.86,104.57,103.55,103.72,9070782,JPM,False,False
2019-03-05,104.13,104.55,103.26,104.11,10856646,JPM,False,False
2019-03-04,104.92,105.92,103.27,104.19,12466285,JPM,False,False
2019-03-01,105.1,105.91,104.2,104.43,13813310,JPM,False,False
2019-02-28,105.01,105.21,104.18,104.36,15156850,JPM,False,False
2019-02-27,105.18,105.38,104.51,105.16,9968822,JPM,False,False
2019-02-26,104.5,105.47,103.94,105.29,15465393,JPM,False,False
2019-02-25,105.75,107.27,105.69,106.1,11230679,JPM,False,False
2019-02-22,105.7,106.09,104.775,105.0,10647258,JPM,False,False
2019-02-21,105.45,105.99,104.96,105.47,8400075,JPM,False,False
2019-02-20,105.21,105.8,104.88,105.69,10030326,JPM,False,False
2019-02-19,104.91,105.37,103.81,105.18,12764888,JPM,False,False
2019-02-15,103.9,105.7,103.66,105.55,14716861,JPM,False,False
2019-02-14,102.47,103.1,101.35,102.42,11518530,JPM,False,False
2019-02-13,102.9,103.85,102.9,103.09,10754061,JPM,False,False
2019-02-12,101.95,102.92,101.89,102.6,12852252,JPM,False,False
2019-02-11,101.76,102.01,100.77,100.88,10978516,JPM,False,False
2019-02-08,102.08,102.34,100.06,101.36,12892562,JPM,False,False
2019-02-07,103.25,103.5,101.44,102.38,13177489,JPM,False,False
2019-02-06,103.71,104.62,103.47,103.74,8744957,JPM,False,False
2019-02-05,104.52,104.55,103.29,103.79,12762982,JPM,False,False
2019-02-04,103.79,104.25,103.01,104.25,9871549,JPM,False,False
2019-02-01,104.0,104.85,103.52,103.88,13000780,JPM,False,False
2019-01-31,103.41,103.8,102.73,103.5,17520551,JPM,False,False
2019-01-30,104.14,105.24,103.78,104.41,12526274,JPM,False,False
2019-01-29,103.88,105.11,103.73,104.17,9743271,JPM,False,False
2019-01-28,102.89,104.24,102.59,103.88,12283089,JPM,False,False
2019-01-25,103.51,104.31,102.74,103.39,14412559,JPM,False,False
2019-01-24,102.13,103.09,101.94,102.74,11296764,JPM,False,False
2019-01-23,103.44,103.7,101.97,102.68,12146678,JPM,False,False
2019-01-22,103.08,103.59,102.13,102.94,17083681,JPM,False,False
2019-01-18,103.77,104.9,102.83,104.59,16428710,JPM,False,False
2019-01-17,102.11,103.5,101.92,102.92,14247564,JPM,False,False
2019-01-16,102.25,103.45,101.8,102.5,18532952,JPM,False,False
2019-01-15,98.89,102.47,98.6,101.68,26504852,JPM,False,False
2019-01-14,98.87,101.36,98.66,100.94,21258458,JPM,False,False
2019-01-11,99.89,100.17,98.95,99.91,15439850,JPM,False,False
2019-01-10,100.02,100.73,99.27,100.39,14376430,JPM,False,False
2019-01-09,100.81,101.49,99.93,100.4,14230331,JPM,False,False
2019-01-08,101.63,101.82,99.55,100.57,13578777,JPM,False,False
2019-01-07,100.43,101.47,99.71,100.76,15430712,JPM,False,False
2019-01-04,99.11,100.93,98.28,100.69,16935205,JPM,False,False
2019-01-03,98.64,98.89,96.69,97.11,16286426,JPM,False,False
2019-01-02,95.95,99.78,95.94,99.31,15670850,JPM,False,False
2018-12-31,97.59,98.8085,96.77,97.62,13237180,JPM,True,True
2018-12-28,97.95,98.32,96.44,96.83,17963271,JPM,False,False
2018-12-27,94.82,97.15,93.55,97.04,20304683,JPM,False,False
2018-12-26,92.69,95.96,91.11,95.96,22542900,JPM,False,False
2018-12-24,92.89,94.22,92.14,92.14,17009280,JPM,False,False
2018-12-21,96.68,98.43,93.69,94.17,41313933,JPM,False,False
2018-12-20,96.61,98.28,95.69,96.45,31825218,JPM,False,False
2018-12-19,98.41,100.58,96.6,97.29,28767868,JPM,False,False
2018-12-18,99.42,100.89,98.12,98.54,20837150,JPM,False,False
2018-12-17,99.77,100.56,98.44,99.01,25113534,JPM,False,False
2018-12-14,99.99,101.94,99.86,100.29,19879525,JPM,False,False
2018-12-13,101.55,101.97,100.67,101.12,17250942,JPM,False,False
2018-12-12,101.66,102.9,100.06,101.02,22621487,JPM,False,False
2018-12-11,103.13,103.66,100.21,100.37,16860677,JPM,False,False
2018-12-10,102.87,103.49,99.28,101.36,23636429,JPM,False,False
2018-12-07,105.16,106.98,102.91,103.29,19248595,JPM,False,False
2018-12-06,105.01,105.36,102.88,105.19,27213946,JPM,False,False
2018-12-04,111.6,111.6,106.73,107.23,23555940,JPM,False,False
2018-12-03,112.38,112.89,111.74,112.24,16033180,JPM,False,False
2018-11-30,109.85,111.32,109.58,111.19,18652718,JPM,False,False
2018-11-29,110.27,110.8,109.64,110.06,11144347,JPM,False,False
2018-11-28,109.8,111.4,108.87,110.94,13977257,JPM,False,False
2018-11-27,108.76,110.03,108.63,109.72,9238176,JPM,False,False
2018-11-26,107.72,109.98,107.45,109.26,13948285,JPM,False,False
